Zipcode,Median Age,Population,Asian,Black,Hispanic,White,American Indian,Native Hawaaiian,Two or more races
25245,54.8,600.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0
25268,58.1,964.0,0.0,0.0,0.0,957.0,0.0,0.0,7.0
25286,42.8,1700.0,0.0,0.0,5.0,1603.0,0.0,0.0,97.0
25303,38.8,6764.0,229.0,624.0,89.0,5682.0,95.0,0.0,122.0
25311,40.0,10964.0,88.0,1684.0,163.0,8457.0,48.0,0.0,676.0
25419,38.6,11062.0,232.0,579.0,527.0,9821.0,0.0,0.0,321.0
25434,41.3,2821.0,21.0,93.0,0.0,2573.0,0.0,0.0,134.0
25446,52.8,1193.0,30.0,13.0,139.0,1043.0,75.0,0.0,0.0
25106,48.2,598.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0
25501,51.1,1198.0,0.0,0.0,33.0,1165.0,0.0,15.0,18.0
25507,51.5,776.0,0.0,4.0,3.0,766.0,0.0,0.0,3.0
25515,44.9,2042.0,0.0,0.0,0.0,2023.0,19.0,0.0,0.0
25520,42.7,1497.0,0.0,0.0,15.0,1480.0,0.0,0.0,17.0
25535,39.3,2796.0,5.0,23.0,0.0,2619.0,0.0,0.0,149.0
25564,39.8,1174.0,0.0,0.0,0.0,1174.0,0.0,0.0,0.0
25601,42.5,5565.0,11.0,185.0,66.0,5248.0,0.0,3.0,118.0
25606,34.8,1531.0,0.0,67.0,0.0,1451.0,13.0,0.0,0.0
25608,58.0,1108.0,19.0,0.0,0.0,1089.0,0.0,0.0,0.0
25617,51.1,706.0,0.0,2.0,0.0,704.0,0.0,0.0,0.0
25621,46.1,1626.0,0.0,0.0,0.0,1626.0,0.0,0.0,0.0
25628,59.4,193.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0
25632,50.3,374.0,0.0,0.0,0.0,351.0,0.0,0.0,23.0
25644,25.5,282.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0
25671,34.5,1471.0,0.0,0.0,0.0,1471.0,0.0,0.0,0.0
25817,45.6,708.0,0.0,0.0,0.0,673.0,0.0,0.0,35.0
25818,29.8,457.0,0.0,0.0,0.0,457.0,0.0,0.0,0.0
25836,22.4,394.0,0.0,0.0,0.0,394.0,0.0,0.0,0.0
25843,41.5,1101.0,0.0,0.0,0.0,1101.0,0.0,0.0,0.0
25666,37.7,544.0,0.0,0.0,0.0,544.0,0.0,0.0,0.0
25650,62.0,215.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0
26541,42.1,2739.0,0.0,60.0,12.0,2679.0,0.0,0.0,0.0
26576,38.9,616.0,0.0,0.0,43.0,616.0,0.0,0.0,0.0
26627,34.7,344.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0
26629,69.5,307.0,0.0,0.0,0.0,271.0,0.0,19.0,17.0
26676,55.4,400.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0
26680,37.4,338.0,0.0,0.0,0.0,338.0,0.0,0.0,0.0
26714,49.0,422.0,0.0,0.0,0.0,422.0,0.0,0.0,0.0
26726,43.0,12604.0,45.0,658.0,199.0,11629.0,0.0,22.0,213.0
26731,41.5,423.0,0.0,0.0,0.0,423.0,0.0,0.0,0.0
26753,39.2,6049.0,51.0,18.0,0.0,5967.0,4.0,0.0,9.0
26757,45.3,6655.0,0.0,247.0,109.0,6335.0,4.0,0.0,62.0
26804,45.7,672.0,0.0,17.0,9.0,655.0,0.0,0.0,0.0
26823,51.9,141.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0
26855,49.5,564.0,0.0,0.0,0.0,564.0,0.0,0.0,0.0
26003,44.1,41198.0,307.0,1603.0,393.0,38254.0,157.0,0.0,741.0
26031,48.7,1562.0,0.0,68.0,9.0,1474.0,0.0,0.0,16.0
26150,39.9,6362.0,28.0,68.0,82.0,6113.0,0.0,0.0,153.0
26152,53.5,118.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0
26159,45.6,3325.0,0.0,10.0,0.0,3258.0,0.0,0.0,44.0
26180,48.2,2341.0,0.0,0.0,0.0,2318.0,12.0,0.0,11.0
26184,36.3,2744.0,0.0,16.0,18.0,2715.0,13.0,0.0,0.0
26217,53.4,220.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0
26224,44.8,268.0,0.0,0.0,0.0,268.0,0.0,0.0,0.0
26259,-666666666.0,31.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0
26269,54.2,821.0,0.0,0.0,0.0,818.0,0.0,0.0,3.0
26278,46.7,622.0,0.0,0.0,11.0,622.0,0.0,0.0,0.0
26294,55.6,883.0,0.0,12.0,0.0,871.0,0.0,0.0,0.0
26327,27.1,68.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0
28119,42.2,2391.0,0.0,1444.0,253.0,824.0,0.0,0.0,8.0
26034,54.7,4203.0,0.0,0.0,0.0,4115.0,0.0,0.0,88.0
26037,44.7,6487.0,0.0,65.0,83.0,6273.0,0.0,0.0,108.0
26062,45.4,20764.0,117.0,701.0,300.0,19348.0,6.0,58.0,534.0
26143,44.6,4291.0,0.0,15.0,18.0,4266.0,0.0,0.0,0.0
26149,45.1,1977.0,0.0,0.0,8.0,1955.0,14.0,0.0,0.0
26201,41.0,19919.0,28.0,491.0,317.0,19199.0,15.0,0.0,164.0
26266,50.2,78.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0
26267,33.2,308.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0
26292,55.2,636.0,3.0,0.0,0.0,633.0,0.0,0.0,0.0
26320,56.4,532.0,0.0,0.0,0.0,528.0,4.0,0.0,0.0
26347,33.2,2576.0,0.0,11.0,58.0,2541.0,0.0,0.0,24.0
26385,40.4,4203.0,0.0,5.0,54.0,4168.0,0.0,0.0,30.0
26411,39.0,922.0,0.0,0.0,0.0,922.0,0.0,0.0,0.0
26419,47.0,1055.0,0.0,146.0,0.0,905.0,0.0,0.0,4.0
26430,36.9,438.0,6.0,26.0,12.0,394.0,0.0,0.0,12.0
26440,43.5,1302.0,0.0,11.0,0.0,1253.0,0.0,0.0,38.0
26447,43.0,1379.0,0.0,0.0,7.0,1344.0,0.0,0.0,35.0
26519,43.2,2085.0,0.0,0.0,0.0,1938.0,135.0,0.0,12.0
26554,40.1,41702.0,278.0,1717.0,534.0,38588.0,21.0,0.0,756.0
26570,42.7,3554.0,0.0,0.0,0.0,3505.0,49.0,0.0,0.0
26587,40.3,423.0,0.0,0.0,0.0,423.0,0.0,0.0,0.0
26611,51.1,239.0,0.0,0.0,0.0,239.0,0.0,0.0,0.0
26623,54.0,1103.0,0.0,0.0,0.0,1103.0,0.0,0.0,0.0
26624,52.7,2729.0,0.0,55.0,0.0,2669.0,0.0,0.0,5.0
26443,35.6,349.0,0.0,0.0,0.0,335.0,0.0,0.0,14.0
26562,60.1,379.0,0.0,0.0,0.0,379.0,0.0,0.0,0.0
26621,44.4,792.0,0.0,0.0,4.0,788.0,0.0,0.0,0.0
26833,42.2,2131.0,0.0,42.0,0.0,2089.0,0.0,0.0,0.0
26169,38.2,656.0,17.0,0.0,0.0,639.0,0.0,0.0,0.0
26291,37.4,176.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0
